canonical_composer,canonical_title,數量
Johann Sebastian Bach,"Italian Concerto, BWV 971 (Complete)",1
Johann Sebastian Bach,"Overture in the French Style in B Minor, BWV 831",1
Johann Sebastian Bach,"Partita No. 1 in B-Flat Major, BWV 825 (Complete)",1
Johann Sebastian Bach,"Partita No. 2 in C Minor, I. Sinfonia",1
Johann Sebastian Bach,"Partita No. 4 in D Major, BWV 828",1
Johann Sebastian Bach,Partita No. 6 in E Minor,1
Johann Sebastian Bach,"Partita in C Minor, BWV 826",1
Johann Sebastian Bach,Prelude & Fugue,2
Johann Sebastian Bach,"Prelude & Fugue in B flat minor, Book I, BWV 867",1
Johann Sebastian Bach,"Prelude & Fugue in G Minor, WTK II",1
Johann Sebastian Bach,"Prelude and Fuge in G-sharp Minor, WTC I, BWV 863",1
Johann Sebastian Bach,"Prelude and Fugue in  F-sharp Major, WTC I , BWV 858",1
Johann Sebastian Bach,"Prelude and Fugue in A Major, WTC I, BWV 864",1
Johann Sebastian Bach,"Prelude and Fugue in A Major, WTC II, BWV 888",1
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC I, BWV 865",3
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II,  BWV 889",1
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 847",1
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 889",5
Johann Sebastian Bach,"Prelude and Fugue in A-flat Major, WTC I",1
Johann Sebastian Bach,"Prelude and Fugue in A-flat Major, WTC I, BWV 862",1
Johann Sebastian Bach,"Prelude and Fugue in B Major, WTC I, BWV 868",1
Johann Sebastian Bach,"Prelude and Fugue in B Major, WTC II, BWV 892",2
Johann Sebastian Bach,"Prelude and Fugue in B Minor, WTC II",2
Johann Sebastian Bach,"Prelude and Fugue in B Minor, WTC II, BWV 893",1
Johann Sebastian Bach,"Prelude and Fugue in B-Moll, No. 22 WTKII",1
Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC I, BWV 867",4
Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC II",1
Johann Sebastian Bach,"Prelude and Fugue in C Major, WTC  II, BWV 870",1
Johann Sebastian Bach,"Prelude and Fugue in C Major, WTC II, BWV 846",1
Johann Sebastian Bach,"Prelude and Fugue in C Major, WTC II, BWV 870",1
Johann Sebastian Bach,"Prelude and Fugue in C Minor, WTC II, BWV 871",1
Johann Sebastian Bach,"Prelude and Fugue in C sharp major, WTC I, BWV 848",1
Johann Sebastian Bach,"Prelude and Fugue in C-Sharp Major, WTC I, BWV 848",2
Johann Sebastian Bach,"Prelude and Fugue in C-Sharp Minor, WTC I, BWV 849",1
Johann Sebastian Bach,"Prelude and Fugue in C-sharp Major, BWV 848",1
Johann Sebastian Bach,"Prelude and Fugue in C-sharp Major, WTC I",2
Johann Sebastian Bach,"Prelude and Fugue in C-sharp Major, WTC I, BWV 848",3
Johann Sebastian Bach,"Prelude and Fugue in C-sharp Minor, Book I, BWV 849",1
Johann Sebastian Bach,"Prelude and Fugue in C-sharp Minor, WTC I",1
Johann Sebastian Bach,"Prelude and Fugue in C-sharp Minor, WTC I, BWV 849",1
Johann Sebastian Bach,"Prelude and Fugue in C-sharp Minor, WTC II",1
Johann Sebastian Bach,"Prelude and Fugue in D Major, Book II",1
Johann Sebastian Bach,"Prelude and Fugue in D Major, WTC I, BWV 850",2
Johann Sebastian Bach,"Prelude and Fugue in D Major, WTC II, BWV 874",4
Johann Sebastian Bach,"Prelude and Fugue in D Minor, Book II",1
Johann Sebastian Bach,"Prelude and Fugue in D Minor, WTC I, BWV 851",1
Johann Sebastian Bach,"Prelude and Fugue in D Minor, WTC II,  BWV 875",1
Johann Sebastian Bach,"Prelude and Fugue in D Minor, WTC II, BWV 875",2
Johann Sebastian Bach,"Prelude and Fugue in D major, WTC I",1
Johann Sebastian Bach,"Prelude and Fugue in D-flat Major, WTC I, BWV 848",2
Johann Sebastian Bach,"Prelude and Fugue in D-sharp Minor, WTC II, BWV 877",1
Johann Sebastian Bach,"Prelude and Fugue in E Major, WTC I, BWV 854",5
Johann Sebastian Bach,"Prelude and Fugue in E Major, WTC I, BWV 854  ",1
Johann Sebastian Bach,"Prelude and Fugue in E Minor WTC I, BWV 855",1
Johann Sebastian Bach,"Prelude and Fugue in E-flat Major, WTC I",1
Johann Sebastian Bach,"Prelude and Fugue in E-flat Major, WTC II, BWV 876",2
Johann Sebastian Bach,"Prelude and Fugue in E-flat Minor WTC I, BWV 853",1
Johann Sebastian Bach,"Prelude and Fugue in E-flat Minor, WTC I, BWV 853",4
Johann Sebastian Bach,"Prelude and Fugue in F Major, WTC I, BWV 856",1
Johann Sebastian Bach,"Prelude and Fugue in F Major, WTC II",1
Johann Sebastian Bach,"Prelude and Fugue in F Major, WTC II, BWV 880",1
Johann Sebastian Bach,"Prelude and Fugue in F Minor, WTC I",1
Johann Sebastian Bach,"Prelude and Fugue in F Minor, WTC I, BWV 857",6
Johann Sebastian Bach,"Prelude and Fugue in F-sharp Major, WTC I, BWV 858",1
Johann Sebastian Bach,"Prelude and Fugue in F-sharp Minor, WTC II",1
Johann Sebastian Bach,"Prelude and Fugue in F-sharp Minor, WTC II , BWV 883",1
Johann Sebastian Bach,"Prelude and Fugue in F-sharp Minor, WTC II, BWV 883",3
Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC I",4
Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC I, BWV 860",3
Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC II, BWV 884",1
Johann Sebastian Bach,"Prelude and Fugue in G Minor, WTC II",1
Johann Sebastian Bach,"Prelude and Fugue in G Minor, WTC II,  BWV 885",1
Johann Sebastian Bach,"Prelude and Fugue in G Minor, WTC II, BWV 885",2
Johann Sebastian Bach,"Prelude and Fugue in G-sharp Minor, WTC I, BWV 863",3
Johann Sebastian Bach,"Prelude and Fugue in G-sharp Minor, WTC II, BWV 887",1
Johann Sebastian Bach,Prelude from English Suite No. 3 in G Major,1
Johann Sebastian Bach,"Prelude from English Suite No. 6 in D Minor, BWV 811",1
Johann Sebastian Bach,"Prelude from the English Suite No. 1 in A Major, BWV 806",1
Johann Sebastian Bach,"Prelude from the English Suite No. 2 in A Minor, BWV 807",1
Johann Sebastian Bach,Prelude from the English Suite No. 6,1
Johann Sebastian Bach,"Prelude from the English Suite No. 6 in D Minor, BWV 811",1
Johann Sebastian Bach,"Toccata from Partita No. 6 in E Minor, Missing Opening!!!!",1
Johann Sebastian Bach,"Toccata in C Minor, BWV 911",2
Johann Sebastian Bach,"Toccata in E Minor, BWV 914",2
Johann Sebastian Bach / Egon Petri,"""Sheep May Safely Graze""",1
Johann Sebastian Bach / Egon Petri,"Sheep May Safely Graze, from Bach's Birthday Cantata",1
Johann Sebastian Bach / Ferruccio Busoni,"""Wachet  auf, ruft uns die Stimme' BWV 645",1
Johann Sebastian Bach / Ferruccio Busoni,Chaconne BWV1004,1
Johann Sebastian Bach / Ferruccio Busoni,Chaconne in D Minor,1
Johann Sebastian Bach / Ferruccio Busoni,"Chaconne in D Minor, BWV 1004",1
Johann Sebastian Bach / Ferruccio Busoni,Toccata in DMin.,1
Johann Sebastian Bach / Franz Liszt,"Prelude and Fugue in A Minor, S.462/1",2
Johann Sebastian Bach / Franz Liszt,Var. on BACH,1
Johann Sebastian Bach / Myra Hess,"Jesu, Joy of Man’s Desiring, BWV 147",1
Johann Strauss / Alfred Grünfeld,"Soiree de Vienne, Op. 56 (Concert Paraphrase on the overture from Die Fledermaus)",1
Johannes Brahms,"16 Waltzes, Op. 39",1
Johannes Brahms,Fantasias Op. 116 (Selections),1
Johannes Brahms,Fantasien Op.116,1
Johannes Brahms,"Fantasies, Op. 116 No. 7 (Complete)",1
Johannes Brahms,Intermezzo Op. 118 No. 6 in E-flat Minor,1
Johannes Brahms,Intermezzos Op. 119,1
Johannes Brahms,"Paganini Variations, Op. 35 Book 2",1
Johannes Brahms,"Paganini Variations, Op. 35 Book II",1
Johannes Brahms,"Paganini Variations, Op. 35 Books I and II",1
Johannes Brahms,Rhapsody Op. 79 No. 1 in B minor,1
Johannes Brahms,"Six Pieces for Piano, Op. 118",1
Johannes Brahms,"Sonata 2 F-sharp Minor, Op. 2",1
Johannes Brahms,Sonata No. 1,1
Johannes Brahms,"Sonata No. 1 in C Major, Op. 1",1
Johannes Brahms,"Sonata No. 3 in F Minor, Op. 5",1
Johannes Brahms,Sonata Op. 5,1
Johannes Brahms,"Sonata in F Minor, Op. 5",3
Johannes Brahms,"Variations and Fugue on the Theme of Händel, Op. 24",1
Johannes Brahms,"Variations and Fugue on the theme of Handel, Op. 24",1
Johannes Brahms,"Variations on a Theme by Paganini, Op. 35 Book II",2
Johannes Brahms,"Variations on a Theme by Paganini, Op. 35, Book II",1
Johannes Brahms,"Variations on a Theme by Paganini, Op. 35, Volumes 1 & 2",1
Johannes Brahms,Variations on a theme by Paganini (Books I & II),1
Joseph Haydn,Andante w/Var.,1
Joseph Haydn,"Piano Sonata in C major, Hob. XVI:50 (Complete)",1
Joseph Haydn,Son. Hob. XVI:32,1
Joseph Haydn,Son. Hob. XVI:39,1
Joseph Haydn,Son. Hob. XVI:52,2
Joseph Haydn,"Sonata E-Flat Major, Hob. XVI:49, First Movement",1
Joseph Haydn,"Sonata in A-Flat Major, Hob. XVI:46, I. Allegro moderato",1
Joseph Haydn,"Sonata in A-flat Major, Hob. XVI: 46, I. Allegro moderato",1
Joseph Haydn,"Sonata in A-flat Major, No. 31 Hob. XVI:46, 1st mov.",1
Joseph Haydn,"Sonata in B-flat Major, Hob.XVI:41",2
Joseph Haydn,"Sonata in C Major, Hob. XVI/50",1
Joseph Haydn,"Sonata in C Major, Hob. XVI: 50, I. Allegro",2
Joseph Haydn,"Sonata in C Major, Hob. XVI:48 (Complete)",2
Joseph Haydn,"Sonata in C Major, Hob. XVI:50",3
Joseph Haydn,"Sonata in C Major, Hob. XVI:50, 1st mov.",2
Joseph Haydn,"Sonata in C Major, Hob. XVI:50, First Movement",1
Joseph Haydn,"Sonata in C Minor, First Movement",1
Joseph Haydn,"Sonata in C Minor, Hob. XVI:20, 1st mov.",2
Joseph Haydn,"Sonata in C major, Hob. XVI: 50",1
Joseph Haydn,"Sonata in D Major, Hob. XVI:24",2
Joseph Haydn,"Sonata in E Major, Hob. XVI:31, First Movement",1
Joseph Haydn,"Sonata in E flat Major, Hob. XVI: 49, I. Allegro",1
Joseph Haydn,"Sonata in E-flat Major, Hob. XVI: 52, I. Allegro",1
Joseph Haydn,"Sonata in E-flat Major, Hob. XVI:52, 1st mov.",1
Joseph Haydn,"Sonata in E-flat Major, Hob. XVI:52, First Movement",3
Joseph Haydn,"Sonata in E-flat major, Hob. XVI:52, I. Allegro",1
Joseph Haydn,"Sonata in F Major, Hob. XVI:23",1
Joseph Haydn,"Sonata in G Major, Hob. XVI:6, First Movement",1
Joseph Haydn,"Sonata in in F Major, Hob. XVI: 23, I. Allegro moderato",1
Leoš Janáček,In the Mists,1
Leoš Janáček,"In the Mists, I. Andante  ",1
Leoš Janáček,"Piano Sonata 1. X. 1905 ""From the Street""",1
Leoš Janáček,"Sonata 1.x.1905 ""On the Streets""",1
Ludwig van Beethoven,"15 Variations and Fugue in Eb on an Original Theme ('Eroica Variations'), Op.35",1
Ludwig van Beethoven,"Andante favori in F Major, WoO 57",1
Ludwig van Beethoven,Bagatelles Op126,1
Ludwig van Beethoven,"Bagatelles, Op. 126 (Complete)",1
Ludwig van Beethoven,"Bagtellen, Op.126",1
Ludwig van Beethoven,"Eroica Variations, Op. 35",1
Ludwig van Beethoven,"Fantasia, Op. 77",1
Ludwig van Beethoven,"Rondo a capriccioso ""Rage over a Lost Penny"", Op. 129",1
Ludwig van Beethoven,"Rondo, Op. 129",1
Ludwig van Beethoven,"Sonata No. 10 in G Major, Op. 14 No. 2, First Movement",1
Ludwig van Beethoven,"Sonata No. 11 in B-flat Major, Op. 22, I. Allegro con brio",2
Ludwig van Beethoven,"Sonata No. 11 in E-flat Major, Op. 22 (Complete)",1
Ludwig van Beethoven,"Sonata No. 11, Op. 22 in B-flat Major, I. Allegro con brio",1
Ludwig van Beethoven,"Sonata No. 12 in A-flat Major, Op. 26, First Movement",1
Ludwig van Beethoven,"Sonata No. 15 in D Major, Op. 28, I. Allegro",1
Ludwig van Beethoven,"Sonata No. 16 Op. 31 No. 1 in G Major, I. Allegro vivace",2
Ludwig van Beethoven,"Sonata No. 16 in G Major, Op. 31 No. 1, First Movement",1
Ludwig van Beethoven,"Sonata No. 16 in G Major, Op. 31 No. 1, First movement",1
Ludwig van Beethoven,"Sonata No. 16 in G Major, Op. 31 No. 1, I. and II. ",1
Ludwig van Beethoven,"Sonata No. 17 in D Minor, Op. 31 No. 2, 1st Movement",1
Ludwig van Beethoven,"Sonata No. 17 in D Minor, Op. 31 No. 2, First Movement",2
Ludwig van Beethoven,"Sonata No. 17 in D minor, Op. 31 No. 2, 1st mov.",1
Ludwig van Beethoven,"Sonata No. 17, Op. 31 No. 2 in D Minor ""Tempest"", I. Largo-Allegro",4
Ludwig van Beethoven,"Sonata No. 18 in E-flat Major, Op. 31 No. 3, First Movement",2
Ludwig van Beethoven,"Sonata No. 18 in E-flat Major, Op. 31, No. 3 (Complete)",1
Ludwig van Beethoven,"Sonata No. 18, Op. 31 No. 3 in E-flat Major, I. Allegro",1
Ludwig van Beethoven,"Sonata No. 21 in  C Major, Op. 53",1
Ludwig van Beethoven,"Sonata No. 21 in C Major, Op. 53",1
Ludwig van Beethoven,"Sonata No. 21 in C Major, Op. 53, ""Waldstein"", First Movement",3
Ludwig van Beethoven,"Sonata No. 21 in C Major, Op. 53, 1st mov.",1
Ludwig van Beethoven,"Sonata No. 21 in C Major, Op. 53, First Movement",1
Ludwig van Beethoven,"Sonata No. 21 in C Major, Op. 53, I. Allegro con brio",2
Ludwig van Beethoven,"Sonata No. 21 in C major, Op. 53, 1st mov.",1
Ludwig van Beethoven,"Sonata No. 21 in C major, Op. 53, “Waldstein,” I. Allegro con brio",1
Ludwig van Beethoven,"Sonata No. 21, Op. 53, ""Waldstein"", I. Allegro con brio",6
Ludwig van Beethoven,"Sonata No. 23 in F Minor, Op. 57 ""Appassionata"", First Movement",1
Ludwig van Beethoven,"Sonata No. 23 in F Minor, Op. 57 (Complete)",1
Ludwig van Beethoven,"Sonata No. 23 in F Minor, Op. 57, First Movement",3
Ludwig van Beethoven,"Sonata No. 23 in F Minor, Op. 57, First movement",1
Ludwig van Beethoven,"Sonata No. 23, Op. 57 in F Minor, ""Appassionata"", I. Allegro assai",1
Ludwig van Beethoven,"Sonata No. 24 in F-Sharp Major, Op. 78",1
Ludwig van Beethoven,"Sonata No. 24 in F-sharp Major, Op. 78",1
Ludwig van Beethoven,"Sonata No. 24 in F-sharp Major, Op. 78, First Movement",1
Ludwig van Beethoven,"Sonata No. 26 in 3-flat Major, Op. 81a (2nd & 3rd Movements)",2
Ludwig van Beethoven,"Sonata No. 26 in E-Flat Major, Op. 81a, ""Les Adiex"", First Movement",2
Ludwig van Beethoven,"Sonata No. 26 in E-flat Major, Op. 81a, I. Das Lebewohl. Adagio - Allegro",1
Ludwig van Beethoven,"Sonata No. 27 in E Minor, Op. 90",1
Ludwig van Beethoven,"Sonata No. 27 in E Minor, Op. 90, First Movement",1
Ludwig van Beethoven,"Sonata No. 27, Op. 90, I. Mit Lebhaftigkeit und durchaus mit Empfindung und Ausdruck",1
Ludwig van Beethoven,"Sonata No. 28 in A Major, Op. 101 (Complete)",3
Ludwig van Beethoven,"Sonata No. 29 in B-flat Major, Op. 106",1
Ludwig van Beethoven,"Sonata No. 3 in C Major, Op. 2 No. 3, First Movement",1
Ludwig van Beethoven,"Sonata No. 3 in C Major, Op. 2 No. 3, I. Allegro con brio",1
Ludwig van Beethoven,"Sonata No. 3 in C Major, Op. 2 No. 3, I. and II. ",1
Ludwig van Beethoven,"Sonata No. 3, Op. 2 No. 3 in C major, I. Allegro con brio",1
Ludwig van Beethoven,"Sonata No. 30 in E Major, Op. 109",1
Ludwig van Beethoven,"Sonata No. 31 In A-flat Major, Op. 110",1
Ludwig van Beethoven,"Sonata No. 31 in A-Flat Major, Op. 110 (Complete)",1
Ludwig van Beethoven,"Sonata No. 31 in A-flat Major, Op. 110",1
Ludwig van Beethoven,"Sonata No. 31 in A-flat Major, Op. 110 (Complete)",1
Ludwig van Beethoven,"Sonata No. 31 in A-flat Major, Op. 110, First movement",1
Ludwig van Beethoven,"Sonata No. 32 in C Minor, Op. 111",1
Ludwig van Beethoven,"Sonata No. 32 in C Minor, Op. 111 (Complete)",1
Ludwig van Beethoven,"Sonata No. 32 in C minor, Op. 111",1
Ludwig van Beethoven,"Sonata No. 4 in E-flat Major, Op. 7, 1st mov.",2
Ludwig van Beethoven,"Sonata No. 4 in E-flat Major, Op. 7, First Movement",1
Ludwig van Beethoven,"Sonata No. 4 in E-flat Major, Op. 7, I. Allegro molto e con brio",3
Ludwig van Beethoven,"Sonata No. 5 in C Minor, Op. 10 No. 1, First Movement",1
Ludwig van Beethoven,"Sonata No. 5 in C Minor, Op. 10 No. 1, I. Allegro molto e con brio",1
Ludwig van Beethoven,"Sonata No. 7 in D Major, Op. 10 No. 3",1
Ludwig van Beethoven,"Sonata No. 7 in D Major, Op. 10 No. 3, 1st mov.",2
Ludwig van Beethoven,"Sonata No. 7 in D Major, Op. 10 No. 3, First Movement",1
Ludwig van Beethoven,"Sonata No. 7, Op. 10 No. 3 in D Major, I. Presto",2
Ludwig van Beethoven,"Sonata No. 8 in C Minor, Op.13",1
Ludwig van Beethoven,Sonata Op. 10/3,1
Ludwig van Beethoven,Sonata Op. 101,1
Ludwig van Beethoven,Sonata Op. 110,1
Ludwig van Beethoven,"Sonata Op. 31, No. 3 in E-flat Major",1
Ludwig van Beethoven,Sonata Op. 54 in F Major,1
Ludwig van Beethoven,Sonata Op. 78,1
Ludwig van Beethoven,"Sonata Op. 81 No. 26, 'Les Adieux'",2
Ludwig van Beethoven,"Sonata in A-flat, Op. 110",3
Ludwig van Beethoven,"Sonata in C Major, Op. 2 No. 3, 1st mov.",1
Ludwig van Beethoven,"Sonata in C Major, Op. 53 'Waldstein'",1
Ludwig van Beethoven,"Sonata in D Minor, Op. 31 No. 2 ""Tempest""",1
Ludwig van Beethoven,"Sonata in D minor, Op. 31, No. 2",2
Ludwig van Beethoven,"Sonata in E Major, Op. 109",1
Ludwig van Beethoven,"Sonata in E Major, Op. 14, No. 1",1
Ludwig van Beethoven,"Sonata in E-flat Major, Op. 81a",1
Ludwig van Beethoven,"Thirty-Two Variaions in C Minor, WoO80",4
Ludwig van Beethoven,"Thirty-Two Variations  in C Minor, WoO 80",1
Ludwig van Beethoven,"Thirty-Two Variations in C Minor, WoO 80",18
Ludwig van Beethoven,"Thirty-Two Variations in C minor, WoO 80",1
Ludwig van Beethoven,"Thirty-Two Variations in C minor, WoO 80    ",2
Ludwig van Beethoven,"Variations and Fugue in E-flat Major, Op. 35, ""Eroica""",1
Mikhail Glinka / Mily Balakirev,Lark,2
Mily Balakirev,"In the Garden, Etude-Idyll",1
Mily Balakirev,Islamei,1
Mily Balakirev,Islamey,1
Mily Balakirev,"Oriental Fantasy ""Islamey""",1
Modest Mussorgsky,Pictures at an E,2
Modest Mussorgsky,Pictures at an Exhibition,4
Muzio Clementi,"Sonata Bb, Op. 24, No. 2",1
Muzio Clementi,Sonata Op. 24/2,1
Muzio Clementi,"Sonata Op. 25 No. 5 in F-sharp Minor, First Movement",1
Muzio Clementi,"Sonata in B-flat Major, Op.24, No. 2",1
Muzio Clementi,Sonata in F# Min,1
Muzio Clementi,"Sonata in F-sharp minor, op. 25 no. 5, 1st mov.",1
Niccolò Paganini / Franz Liszt,Etude No. 6 in A Minor,1
Nikolai Medtner,"Fairy Tale in D Minor, Op. 54",1
Nikolai Medtner,"Fairy Tales Op. 51 No. 1, 2 and No. 3",1
Nikolai Medtner,"Sonata Tragica, Op. 39, No. 5",1
Nikolai Medtner,"Three Fairy Tales ""Skazki"" from Op. 34",1
Nikolai Medtner,Two Fairy Tales,1
Nikolai Rimsky-Korsakov / Sergei Rachmaninoff,The Flight of the Bunble-Bee,1
Orlando Gibbons,Pavan,1
Percy Grainger,Ramble on the Last Love - Duet,1
Pyotr Ilyich Tchaikovsky,Dumka,1
Pyotr Ilyich Tchaikovsky,"Dumka, Op. 59",1
Pyotr Ilyich Tchaikovsky,"Dumka, Op.59",1
Pyotr Ilyich Tchaikovsky,Meditation,1
Pyotr Ilyich Tchaikovsky,Russian Scherzo Op. 1,1
Pyotr Ilyich Tchaikovsky,"The Seasons, Op. 37a (Selections)",1
Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,"Andante Maestoso from ""Nutcracker Suite""",1
Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,Concert Suite from the Ballet Nutcracker,1
Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,Concert Suite from the Nutcracker,1
Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,"Intermezzo from ""Nutcracker Suite""",1
Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,"March from ""Nutcracker Suite",1
Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,Nutcracker Suite,1
Pyotr Ilyich Tchaikovsky / Sergei Rachmaninoff,Lullaby,1
Pyotr Ilyich Tchaikovsky / Sergei Rachmaninoff,"Lullaby Op. 16, No. 1",1
Richard Wagner / Franz Liszt,IsoldasLiebestod,1
Richard Wagner / Franz Liszt,Isolde's Liebestod,1
Robert Schumann,ABEGG Op. 1,1
Robert Schumann,ABEGG Variations Op. 1,1
Robert Schumann,"ABEGG Variations, Op. 1",5
Robert Schumann,"Arabesque, Op. 18",2
Robert Schumann,"Carnaval, Op. 9",4
Robert Schumann,"Davidsbundlertanze, Op. 6",1
Robert Schumann,Fantasie Op. 17,2
Robert Schumann,"Fantasy Pieces, Op. 12",1
Robert Schumann,"Fantasy in C Major, Op. 17",1
Robert Schumann,"Gesänge der Frühe, Op. 133",1
Robert Schumann,"Humoresque, Op. 20",1
Robert Schumann,"Intermezzi, Opus 4",1
Robert Schumann,Kreisleriana,1
Robert Schumann,"Kreisleriana, Op. 16",3
Robert Schumann,"Kreisleriana, Op. 16 (1st edition) (Complete)",1
Robert Schumann,"Kreisleriana, Op. 16 (Complete)",1
Robert Schumann,"Romances Op. 28, Nos. 2 and 3",2
Robert Schumann,Sonata F# Minor,1
Robert Schumann,"Sonata No. 1 in F-Sharp Minor, Op. 11 (Complete)",1
Robert Schumann,"Sonata No. 1 in F-sharp Minor, Op. 11",1
Robert Schumann,"Sonata No. 2 in G Minor, Op. 22",1
Robert Schumann,"Sonata No. 2 in G Minor, Op. 22 (Complete)",2
Robert Schumann,Symphonic Etudes,3
Robert Schumann,Symphonic Etudes Op. 13,1
Robert Schumann,Symphonic Etudes Op. 13 (with Posthumous variations),1
Robert Schumann,"Symphonic Etudes, Op. 13",3
Robert Schumann,"Symphonic Etudes, Op. 13 (with Posthumous Etudes)",1
Robert Schumann,Toccata Op. 7,1
Robert Schumann,"Toccata in C Major, Op. 7",2
Robert Schumann,"Toccata in C Major, Opus 7",1
Robert Schumann,"Toccata in C, Op. 7",1
Robert Schumann / Franz Liszt,Widmung,1
Sergei Rachmaninoff,Corelli Var.Op42,1
Sergei Rachmaninoff,Elegie in E-Flat Minor Op. 3,1
Sergei Rachmaninoff,"Elegie in E-flat Minor, Op. 3 No. 1",1
Sergei Rachmaninoff,"Elegy Op. 3, No. 1",1
Sergei Rachmaninoff,Etude Tableau Op. 39 No. 5,1
Sergei Rachmaninoff,Etude Tableaux Op. 39 No. 1 in C Minor,1
Sergei Rachmaninoff,Etude Tableaux Op. 39 No. 6 in A Minor,1
Sergei Rachmaninoff,Etude-Tableau Op. 39 No. 6 in A Minor,1
Sergei Rachmaninoff,"Etude-Tableau in C Minor, Op. 39, No. 1",1
Sergei Rachmaninoff,"Etude-Tableau in E-flat Minor, op. 39 No. 5",1
Sergei Rachmaninoff,"Etude-Tableau, Op. 39 No. 6 in A Minor",1
Sergei Rachmaninoff,Etude-Tableaux Op. 39 No. 5,1
Sergei Rachmaninoff,Etude-Tableaux Op. 39 No. 5 in E-flat Minor,1
Sergei Rachmaninoff,Etude-Tableaux Op. 39 No. 6 in A Minor,1
Sergei Rachmaninoff,"Etude-Tableaux, Opus 33 No. 3 in C Minor",1
Sergei Rachmaninoff,"Etude-Tableaux, Opus 39 No. 8 in D Minor",1
Sergei Rachmaninoff,Etudes-Tableaux,1
Sergei Rachmaninoff,Etudes-Tableaux Op. 33,1
Sergei Rachmaninoff,"Humoresque Op. 10, No. 5",1
Sergei Rachmaninoff,Lilac,1
Sergei Rachmaninoff,"Moment Musical, Op. 16, No.4",1
Sergei Rachmaninoff,Moment Musicaux Op. 16 No. 4 in E Minor,1
Sergei Rachmaninoff,"Moment Musicaux, Op. 16 No. 3 in B Minor",1
Sergei Rachmaninoff,"Moment Musicaux, Op. 16 No. 4 in E Minor",1
Sergei Rachmaninoff,"Moment Musicaux, Op. 16 No. 5",1
Sergei Rachmaninoff,Moments Musicaux,1
Sergei Rachmaninoff,"Moments Musicaux, Op. 16",6
Sergei Rachmaninoff,"Polka de ""W.R.""",1
Sergei Rachmaninoff,Polka de W. R.,1
Sergei Rachmaninoff,Polka de W.R.,1
Sergei Rachmaninoff,Prelude Op. 23 No. 4 in D Major,1
Sergei Rachmaninoff,Prelude Op. 23 No. 6 in E-flat Major,1
Sergei Rachmaninoff,"Prelude Op. 23, No. 2",1
Sergei Rachmaninoff,Prelude Op. 23/4,1
Sergei Rachmaninoff,Prelude Op. 3 No. 2 in C-sharp Minor,1
Sergei Rachmaninoff,Prelude Op. 32 No. 8 in A Minor,1
Sergei Rachmaninoff,"Prelude Op. 32, No. 10",1
Sergei Rachmaninoff,Prelude Op. 32/5,1
Sergei Rachmaninoff,"Prelude in C-sharp Minor, Op. 3, No. 2",1
Sergei Rachmaninoff,"Prelude in D Major, Op. 23, No. 4",2
Sergei Rachmaninoff,"Prelude in G-Sharp Minor,Op. 32 No. 12",1
Sergei Rachmaninoff,"Preludes Op. 23, Nos. 2, 4 and 5",1
Sergei Rachmaninoff,Sonata No. 2 in B-Flat Minor Op. 36 (1913),4
Sergei Rachmaninoff,Sonata No. 2 in B-flat Minor,1
Sergei Rachmaninoff,"Sonata No. 2 in B-flat Minor, Op. 36",1
Sergei Rachmaninoff,"Sonata No. 2 in B-flat Minor, Op. 36 (1913)",1
Sergei Rachmaninoff,"Sonata No. 2 in B-flat Minor, Op.36",1
Sergei Rachmaninoff,"Sonata No. 2 in B-flat Minor, Opus 36",1
Sergei Rachmaninoff,Sonata Op. 36,1
Sergei Rachmaninoff,"Sonata in B-flat Minor, Op.36",1
Sergei Rachmaninoff / György Cziffra,Flight of B.B.,1
Sergei Rachmaninoff / Vyacheslav Gryaznov,Italian Polka,1
Wolfgang Amadeus Mozart,Fantasy in C Min,1
Wolfgang Amadeus Mozart,"Nine Variations, K. 264",1
Wolfgang Amadeus Mozart,"Nine variations on a minuet by Duport, K537",1
Wolfgang Amadeus Mozart,"Rondo in A Minor,  K. 511",1
Wolfgang Amadeus Mozart,Sonata K. 457,1
Wolfgang Amadeus Mozart,"Sonata K. 457 in C minor, I. Allegro molto",1
Wolfgang Amadeus Mozart,"Sonata in B-flat Major, K 333, First Movement",1
Wolfgang Amadeus Mozart,"Sonata in B-flat Major, K. 281, First Movement",1
Wolfgang Amadeus Mozart,"Sonata in B-flat Major, K. 333, 1st mov.",1
Wolfgang Amadeus Mozart,"Sonata in B-flat Major, K. 333, I. Allegro",1
